iso3,anger_moral_injury,climate_fear_anxiety_panic,depression_suicidal_ideation,displacement_exile,emotional_pain_unspecified,general_fear_anxiety_panic,general_physical_pain,grief_solastalgia,helplessness_powerlessness,loss_precarity,no_pain,out_of_scope,relationship_social_pain,shame_guilt_self_blame,trauma_overwhelm,uncertainty_instability
AFG,0.3249,0.1458,0.7536,0.4840,0.6765,0.3401,0.5112,0.1427,0.4497,0.3042,0.2743,0.5904,0.0791,0.2697,0.3855,0.5033
AGO,0.5076,0.6169,0.5655,0.3382,0.4170,0.5426,0.6602,0.4853,0.6108,0.1536,0.5872,0.9986,0.7743,0.5905,0.5742,0.1108
ALB,0.8436,0.6200,0.8915,0.5773,1.0000,0.8404,0.3878,0.1737,0.6936,0.1312,0.6445,0.6845,0.0039,0.1111,0.7511,0.5659
AND,0.4716,0.5003,0.6625,0.3352,0.5356,0.6296,0.3534,0.1357,0.3736,0.5745,0.4502,0.5639,0.3358,0.7814,0.5864,0.3741
ARE,1.0000,0.2458,0.4218,0.1139,1.0000,0.2393,0.1880,0.1276,0.7064,0.4841,0.8440,0.5909,1.0000,0.2501,0.7364,1.0000
ARG,0.4456,0.8431,0.4145,0.7094,0.3286,0.0380,0.5714,0.6114,0.6443,1.0000,0.6662,0.3828,1.0000,0.3999,0.7668,0.4390
ARM,0.1032,0.1147,0.1397,0.1225,0.3468,0.5114,0.8082,0.2668,0.5350,0.3003,0.0407,0.4429,0.8515,0.8213,0.3313,0.2026
ATG,0.1412,0.5487,0.5464,0.5693,0.1022,0.5921,0.4432,0.7801,0.2307,0.6152,0.5096,0.2437,0.6481,0.3129,0.4168,0.1821
AUS,0.5948,0.5666,0.5451,0.6976,0.2380,0.6405,0.6679,0.3135,0.4495,0.6001,0.3919,0.4308,0.7707,0.3280,0.6416,0.5951
AUT,1.0000,0.6304,0.8594,0.1621,0.1493,0.2112,0.5312,1.0000,1.0000,1.0000,0.8179,0.3284,1.0000,0.1241,0.3107,0.4195
AZE,0.4977,0.5105,0.3779,0.7827,0.3681,0.3432,0.5230,0.6753,0.5767,0.4004,0.3072,0.6134,0.4749,0.5657,0.6358,0.4296
BDI,0.7017,0.6447,0.4397,0.1010,0.7582,0.7834,0.1450,0.6886,0.2543,0.4723,0.6336,0.3834,0.3020,0.5969,0.4861,0.2497
BEL,0.2645,0.2175,0.6504,0.9490,0.5955,0.5259,0.3964,0.8211,0.5867,0.3508,0.5401,0.1655,0.6584,0.2843,0.4283,0.6284
BEN,0.2332,0.4911,0.2485,0.7333,0.4848,0.3471,0.4500,0.6175,0.3718,0.4283,0.5766,0.4371,0.6521,0.3812,0.4664,0.6897
BFA,0.4633,0.4810,0.6596,0.4972,0.2614,0.5217,0.3749,0.6028,0.1772,0.2858,0.4145,0.4608,0.6263,0.3371,0.6811,0.4130
BGD,0.3106,0.5300,0.9795,0.5817,0.4614,0.7229,0.8370,0.0940,0.5448,0.6825,0.7953,0.4908,0.5776,1.0000,0.2017,0.5028
BGR,0.5095,0.3591,0.6216,0.1627,0.1641,0.5572,0.5687,0.6682,0.5748,0.7197,0.6030,0.6355,0.3026,0.6644,0.6712,0.3941
BHR,0.6036,0.6832,0.5260,0.5087,0.3485,0.4723,0.5430,0.6795,0.6955,0.6926,0.6161,0.7682,0.5582,0.6992,0.6923,0.6341
BHS,0.5884,1.0000,0.2837,1.0000,0.3576,0.2266,0.8301,0.8922,0.5895,0.5706,0.6459,0.0239,0.4743,0.6012,0.7940,0.7348
BIH,0.6804,0.2342,0.6270,0.2834,0.5436,0.3672,0.2448,0.5672,0.7249,0.6099,0.1991,0.1402,0.5202,0.6828,0.2359,0.4249
BLR,0.7534,0.4625,0.5118,0.7083,0.5155,0.5117,0.5186,0.4526,0.4274,0.5239,0.3947,0.2624,0.7983,0.6692,0.2456,0.5465
BLZ,0.6489,0.3051,0.9893,0.5626,0.6695,0.5067,0.7355,0.0409,0.1306,0.3108,0.1703,0.9757,0.9469,0.4995,0.4434,0.5367
BOL,0.5402,0.4121,0.3577,0.6531,0.5189,0.6306,0.7503,0.7358,0.5360,0.2650,0.2321,0.6040,0.4132,0.3132,0.5543,0.7571
BRA,0.2937,0.3386,0.3172,0.3840,0.5302,0.3910,0.5031,0.2343,0.5513,0.5032,0.6789,0.5393,0.6075,0.6167,0.6495,0.4923
BRB,0.5050,0.2325,0.5232,0.5015,0.7446,0.5143,0.2299,0.3965,0.4651,0.7802,0.1500,0.4740,0.7211,0.0289,0.6734,0.4729
BRN,0.3532,0.2024,0.2582,1.0000,0.0946,1.0000,0.8027,0.0157,0.5323,1.0000,0.6057,0.5987,1.0000,0.6219,0.0095,1.0000
BTN,0.2762,0.3472,0.1967,1.0000,1.0000,0.9420,0.6988,0.0280,0.1522,1.0000,0.5970,0.6020,0.4468,1.0000,0.5868,1.0000
BWA,0.3010,0.6723,0.4757,0.5367,0.6499,0.3512,0.2875,0.6959,0.5499,0.6677,0.6400,0.9989,0.5725,0.5132,0.6804,0.3895
CAF,0.2106,0.1161,0.3779,0.9047,0.7510,0.2334,0.5233,0.1356,0.1548,0.3803,0.4293,0.8962,0.6389,0.2630,0.0606,0.7282
CAN,0.3981,0.5309,0.6466,0.1943,0.5344,0.4261,0.4924,0.4624,0.3634,0.6413,0.6826,0.5934,0.4037,0.5786,0.4056,0.1890
CHE,0.4261,0.6874,0.0576,0.8652,1.0000,0.2381,0.5276,0.7801,1.0000,0.3431,0.3592,0.0556,1.0000,0.4015,0.2179,0.2094
CHL,0.8006,0.2163,0.0293,1.0000,0.3536,0.2093,1.0000,0.6943,0.3705,1.0000,1.0000,0.5540,0.6981,0.3126,0.2143,0.2401
CHN,0.7760,0.5819,0.6520,0.2246,0.5153,0.4507,0.6669,0.5995,0.7622,0.4003,0.3300,0.1315,0.5204,0.5023,0.3376,0.6227
CIV,0.4261,1.0000,0.5312,0.4455,1.0000,1.0000,1.0000,0.8953,0.4391,1.0000,0.1382,0.4836,0.6999,0.7609,0.3871,0.3166
CMR,0.1371,0.0526,1.0000,1.0000,0.0024,0.2968,0.2454,0.5302,0.5182,0.7834,0.0030,0.4345,0.0595,0.0854,0.2553,0.1294
