iso3	country	join_status	lang_code	language_english	language_autonym	script	competing_languages	join_note	01_pain_term	01_pain_english	01_pain_mark	02_hurt_term	02_hurt_english	02_hurt_mark	03_eco_anxiety_term	03_eco_anxiety_english	03_eco_anxiety_mark	04_uncertainty_term	04_uncertainty_english	04_uncertainty_mark	05_grief_term	05_grief_english	05_grief_mark	06_anger_term	06_anger_english	06_anger_mark	07_hardship_term	07_hardship_english	07_hardship_mark	08_displacement_term	08_displacement_english	08_displacement_mark	09_trauma_term	09_trauma_english	09_trauma_mark	10_loneliness_term	10_loneliness_english	10_loneliness_mark	11_depression_term	11_depression_english	11_depression_mark	12_fear_term	12_fear_english	12_fear_mark	13_helplessness_term	13_helplessness_english	13_helplessness_mark	14_shame_term	14_shame_english	14_shame_mark	15_no_pain_term	15_no_pain_english	15_no_pain_mark	labels	gaps	exact_F	broader_or_narrower_E
AFG	Afghanistan	OPEN	prs	Dari (Afghan Persian)		Arab	Pashto (ps); Uzbek (uz)	Dari is the wider lingua franca; Pashto has a comparable claim as national language.	درد جسمی	physical pain; bodily pain	F	رنج روانی	mental or emotional suffering	F	اضطراب اقلیمی	climate anxiety	F	بی‌ثباتی	instability	E	غم	grief / sadness	E	خشم	anger; rage; wrath	E	عسر	destitution, hardship, necessity	E	آوارگی	uprootedness / homelessness / wandering	E	آسیب روانی	psychological trauma; psychological injury	F	تنهایی	loneliness; solitude; aloneness	E	افسردگی	despondence, depression, melancholy	E	ترس	fear; fright	E	درمانده	distressed; hopeless; helpless	E	شرم	shame / embarrassment	E	درد ندارد	has no pain	F	15	0	5	10
ALB	Albania	SETTLED	sq	Albanian	shqip	Latn			dhembje	pain	E	trishtim	sadness	E	ankth klimatik	climate anxiety	E	pasiguri	insecurity / uncertainty	E	pikëllim	grief / deep sorrow	E	zemërim	anger / outrage	E	vështirësi	difficulty / hardship	E	shpërngulje	relocation / displacement	E	traumë	serious bodily injury; figuratively, severe emotional shock	F	vetmi	loneliness	E	depresion	depression	F	frikë	fear / dread	E	pafuqi	weakness; impotence; helplessness	E	turp	shame	E	pa dhimbje	without pain	F	15	0	3	12
DZA	Algeria	REVIEW	ar	Arabic	العربية	Arab	Tamazight, Kabyle (kab); French (fr)	Tamazight co-official since 2016. Variety question: MSA vs Algerian Darija (arq).	وجع	Pain / ache	F	ضيق	Distress / inner tightness	E	القلق المناخي	climate anxiety, definite form	F	عدم اليقين	uncertainty; lack of certainty	F	حزن	Grief / sorrow	E	غضب	Anger	E	عوز	Want / destitution	E	نزوح	Displacement	E	صدمة	Shock / trauma	E	وحشة	Loneliness / forlornness	E	اكتئاب	Depression	F	خوف وقلق	Fear and anxiety	E	عجز	Inability / powerlessness	E	شعور بالذنب	Feeling of guilt	E	بلا ألم	without pain	F	15	0	5	10
AND	Andorra	SETTLED	ca	Catalan	català	Latn			dolor físic	physical pain	F	patiment emocional	emotional suffering	F	ansietat climàtica	climate anxiety	E	incertesa	uncertainty	E	dol	mourning; grief	E	indignació	indignation	E	inseguretat econòmica	economic insecurity	E	exili	exile	E	sobrecàrrega emocional	emotional overload	E	soledat	loneliness; solitude	E	depressió	depression	E	por	fear	E	sensació d'impotència	feeling of powerlessness	E	vergonya	shame	E	sense patiment	without suffering	F	15	0	3	12
AGO	Angola	SETTLED	pt	Portuguese	português	Latn	Umbundu (umb)	Portuguese is dominant and rising as L1.	dor física	physical pain	F	sofrimento emocional	emotional suffering	F	ansiedade climática	climate anxiety	E	incerteza	uncertainty	E	luto	mourning; bereavement	E	indignação	indignation	E	insegurança material	material insecurity	E	exílio	exile	E	sobrecarga emocional	emotional overload	E	solidão	loneliness; solitude	E	depressão	depression	E	medo	fear	E	impotência	powerlessness	E	vergonha	shame	E	sem sofrimento	without suffering	F	15	0	3	12
ATG	Antigua and Barbuda	SETTLED	en	English		Latn			Pain	Pain	F	Hurt	Hurt	E	Eco-anxiety	Eco-anxiety	E	Uncertainty	Uncertainty	F	Grief	Grief	E	Anger	Anger	E	Hardship	Hardship	E	Displacement	Displacement	E	Trauma	Trauma	E	Loneliness	Loneliness	E	Depression	Depression	E	Fear	Fear	E	Helplessness	Helplessness	F	Shame	Shame	E	No pain	No pain	F	15	0	4	11
ARG	Argentina	SETTLED	es	Spanish	español	Latn		Variety: Rioplatense.	dolor físico	Physical pain	F	dolor emocional	Emotional pain	F	ecoansiedad	eco-anxiety; chronic fear of environmental catastrophe	F	incertidumbre	Uncertainty	F	duelo	Grief, mourning	E	indignación	Indignation, outrage	E	precariedad	Precarity	E	desarraigo	Rootlessness, uprooting	F	trauma	Trauma	E	soledad	Loneliness, solitude	E	depresión	Depression	F	ansiedad	Anxiety	E	impotencia	Powerlessness	F	culpa	Guilt, blame	E	sin dolor	without pain	F	15	0	8	7
ARM	Armenia	SETTLED	hy	Armenian	հայերեն	Armn			ֆիզիկական ցավ	physical pain	F	տառապանք	suffering; torment	E	կլիմայական տագնապ	climate anxiety	F	անորոշություն	uncertainty; indefiniteness	F	վիշտ	grief; sorrow	E	վրդովմունք	indignation; resentment	E	զրկանք	deprivation; hardship	E	տեղահանում	displacement; removal	E	տրավմա	trauma	E	մենակություն	loneliness; solitude	E	դեպրեսիա	depression	F	վախ	fear	E	անօգնականություն	helplessness	F	ամոթ	shame	E	ցավ չկա	there is no pain	F	15	0	6	9
AUS	Australia	SETTLED	en	English		Latn			Pain	Pain	F	Hurt	Hurt	E	Eco-anxiety	Eco-anxiety	E	Uncertainty	Uncertainty	F	Grief	Grief	E	Anger	Anger	E	Hardship	Hardship	E	Displacement	Displacement	E	Trauma	Trauma	E	Loneliness	Loneliness	E	Depression	Depression	E	Fear	Fear	E	Helplessness	Helplessness	F	Shame	Shame	E	No pain	No pain	F	15	0	4	11
AUT	Austria	SETTLED	de	German	Deutsch	Latn		Variety: Austrian German.	körperlicher Schmerz	physical pain	F	seelischer Schmerz	emotional/psychological pain	F	Klimaangst	climate fear/anxiety	E	Ungewissheit	uncertainty	E	Trauer	grief; mourning; sorrow	E	Empörung	indignation; outrage	E	Existenzsorge	worry about one’s livelihood/existence	E	Entwurzelung	uprooting; rootlessness	E	Überforderung	being overwhelmed; excessive demand	E	Einsamkeit	loneliness; solitude	E	Depression	depression	E	Angst	fear/anxiety	E	Hilflosigkeit	helplessness	F	Scham	shame	E	ohne Leid	without suffering/distress	F	15	0	4	11
